;;;;;;;;;;;;;;
MarkaKodu;TipKodu;MarkaAdı;TipAdı;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
3;212;ALFA ROMEO;MITO 1.6 JTD (120) DISTINCTIVE 3 KAPI;0;0;0;0;0;0;0;0;0;0;0
3;213;ALFA ROMEO;159 1.9 JTD (150) NEW DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;214;ALFA ROMEO;159 1.9 JTD (150) NEW D.TIVE PLUS Q-TRON;0;0;0;0;0;0;0;0;0;0;0
3;215;ALFA ROMEO;159 1.8 TBI (200) NEW DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;216;ALFA ROMEO;MITO 1.4 TB MULTIAIR 170 QUAD.VERDE 3K;0;0;0;0;0;0;0;0;0;0;390547
3;217;ALFA ROMEO;GIULETTA 1.4 TB 120 PROGRESSION PLUS;0;0;0;0;0;0;0;0;386421;319326;307231
3;218;ALFA ROMEO;GIULETTA 1.4 TB 120 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;219;ALFA ROMEO;GIULETTA 1.4 TB MULTIAIR 170 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;362726
3;220;ALFA ROMEO;GIULETTA 1.6 JTD 105 PROGRESSION PLUS;0;0;0;0;0;0;0;0;410985;370614;348998
3;221;ALFA ROMEO;GIULETTA 1.6 JTD 105 DISTINCTIVE;0;0;0;0;0;0;0;0;435971;407352;369383
3;222;ALFA ROMEO;GIULETTA 1.750 TB 235 QUAGRIFOGLIO VERDE;0;0;0;0;0;0;0;0;0;0;529832
3;223;ALFA ROMEO;MITO 1.4 TB MULTIAIR 135 DIS.TIVE TCT 3 K;0;0;0;0;0;0;0;0;0;0;0
3;224;ALFA ROMEO;MITO 1.4 TB MULTIAIR (135) TCT CITY;0;0;0;0;0;0;0;0;0;0;389291
3;225;ALFA ROMEO;MITO 1.4 TB MULTIAIR (135) TCT SPORTIVO;0;0;0;0;0;0;0;0;0;0;389291
3;226;ALFA ROMEO;MITO 1.4 TB MULTIAR (135) TCT;0;0;0;0;0;0;0;0;0;0;0
8;100;ASTON MARTIN;V8 VANTAGE;0;0;0;0;0;0;0;0;0;0;0
8;1001;ASTON MARTIN;DB9 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0
8;1002;ASTON MARTIN;DB9 COUPE;0;0;0;0;0;0;0;0;0;0;0
8;1003;ASTON MARTIN;DB9 COUPE TOUCHTRONIC;0;0;0;0;0;0;0;7186003;6762148;5565010;4006205
8;1004;ASTON MARTIN;DBS 6.0;0;0;0;0;0;0;0;0;0;7200751;6704809
8;1005;ASTON MARTIN;RAPIDE 6.0 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;6580508;6159698
8;1006;ASTON MARTIN;DB9 6.0 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;7677106;6197687;5812856
8;1007;ASTON MARTIN;DBS 6.0 TOUCHTRONIC;0;0;0;0;0;0;0;0;0;7673625;7035722
8;1008;ASTON MARTIN;V8 VANTAGE SPORTSHIFT COUPE;0;0;0;0;0;0;0;4844388;4247156;3719190;3494852
8;1009;ASTON MARTIN;V8 VANTAGE SPORTSHIFT ROADSTER;0;0;0;0;0;0;0;0;4822354;4303797;4189058
8;101;ASTON MARTIN;DB9 VOLANTE;0;0;0;0;0;0;0;0;0;0;0
8;1010;ASTON MARTIN;V8 VANTAGE S COUPE;0;0;0;0;0;0;5447179;4442140;4020279;3811319;3566813
8;1011;ASTON MARTIN;V8 VANTAGE S ROADSTAR SPORTSSHIFT II;0;0;0;0;0;0;6894364;5823845;5215474;4535691;4388256
8;1012;ASTON MARTIN;V12 VANTAGE COUPE;0;0;0;0;0;0;0;0;5314679;4584465;4330263
8;1013;ASTON MARTIN;RAPIDE TOUCHTRONIC;0;0;0;0;0;0;0;0;5588807;4999674;4684309
8;1014;ASTON MARTIN;VIRAGE COUPE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0
8;1015;ASTON MARTIN;VIRAGE VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0
8;1016;ASTON MARTIN;VANQUISH 6.0;0;0;0;0;0;0;11310418;9350516;8456828;7833699;0
8;1017;ASTON MARTIN;RAPIDE S;0;0;0;0;0;0;10022377;7448462;6500811;0;0
8;1018;ASTON MARTIN;DB11;0;0;0;0;11916476;10249873;9701812;6782042;0;0;0
8;1019;ASTON MARTIN;CG 1.3;0;0;0;0;0;0;0;0;0;0;0
8;1020;ASTON MARTIN;DBS SUPERLEGGERA 5.2;0;0;18027129;17413806;17361564;17064117;0;0;0;0;0
8;1021;ASTON MARTIN;VANTAGE COUPE 4.0;0;0;10174943;9828768;9387212;8471201;0;0;0;0;0
8;1022;ASTON MARTIN;RAPIDE AMR;0;0;0;0;16673152;0;0;0;0;0;0
8;1023;ASTON MARTIN;DB11 4.0;0;0;0;0;0;8335738;0;0;0;0;0
8;1025;ASTON MARTIN;DB11 AMR 5.2;0;0;13627156;13163526;10057251;0;0;0;0;0;0
8;1026;ASTON MARTIN;DBX;0;0;16677349;14938894;0;0;0;0;0;0;0
8;1027;ASTON MARTIN;VANTAGE ROADSTAR 4.0;0;0;11265115;0;0;0;0;0;0;0;0
8;1028;ASTON MARTIN;DB11 V8 VOLANTE;0;0;0;15071735;13907424;0;0;0;0;0;0
8;1029;ASTON MARTIN;DB11 4.0 V8 CABRIO;0;0;0;0;0;8648329;0;0;0;0;0
8;1030;ASTON MARTIN;VANTAGE F1 COUPE 4.0;0;11369924;0;0;0;0;0;0;0;0;0
8;1031;ASTON MARTIN;DBX 707 4.0 V8 AWD AT;0;15422579;0;0;0;0;0;0;0;0;0
8;1032;ASTON MARTIN;V12 VANTAGE S 6.0;0;0;0;0;0;0;0;9243729;0;0;0
9;1001;AUDI;S3 S TRONIC;0;0;0;0;0;0;0;0;0;0;0
9;1002;AUDI;A6 AVANT 3.0 TFSI QUATTRO S TRONIC;0;0;0;0;0;0;0;1777990;1650362;1475907;1177964
9;1003;AUDI;A6 AVANT 2.0 TDI (177) MULTITRONIC;0;0;0;0;0;0;0;1434639;1149522;1040489;957804
9;1004;AUDI;A6 AVANT 3.0 TDI QUATTRO S TRONIC;0;0;0;0;0;0;0;1832588;1614372;1276093;1101957
9;1005;AUDI;TT COUPE 1.8 TFSI STRONIC (160);0;0;0;0;0;0;0;0;0;0;828741
9;1006;AUDI;TT ROADSTAR 1.8 TFSI S TRONIC (160);0;0;0;0;0;0;0;0;0;0;821320
9;1007;AUDI;TT ROADSTAR 2.0 TDI QUATTRO S TRONIC (170);0;0;0;0;0;0;0;0;0;0;1012942
9;1008;AUDI;TT ROASTAR 2.0 TFSI S TRONIC (211);0;0;0;0;0;0;0;0;0;0;1069010
9;1009;AUDI;TT ROADSTAR 2.0 TFSI QUATTRO S TRONIC (211);0;0;0;0;0;0;0;0;0;0;1118689
9;1010;AUDI;TT COUPE 2.0 TDI (170) QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;963156
9;1011;AUDI;A5 COUPE 2.0 TDI (177) MULTIRONIC;0;0;0;0;0;0;0;0;0;0;0
9;1012;AUDI;A5 SPORTBACK 2.0 TDI (177) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;820463
9;1013;AUDI;A4 1.8 TFSI 170 MULTITRONIC PI;0;0;0;0;0;0;0;835383;765875;684682;622071
9;1014;AUDI;A4 2.0 TFSI 211 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;0;0;0;649554
9;1015;AUDI;A4 2.0 TDI 177 MULTITRONIC PI;0;0;0;0;0;0;0;898267;841643;738225;666643
9;1016;AUDI;S4 S TRONIC PI;0;0;0;0;0;0;0;1880278;1733005;1510582;1332414
9;1017;AUDI;A4 AVANT 1.8 TFSI 170 MULTITRONIC PI;0;0;0;0;0;0;0;841167;765875;684682;622071
9;1018;AUDI;A4 AVANT 2.0 TFSI 211 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;0;0;0;649554
9;1019;AUDI;A4 AVANT 2.0 TDI 177 MULTITRONIC PI;0;0;0;0;0;0;0;900330;841643;738225;666643
9;1020;AUDI;S4 AVANT S TRONIC PI;0;0;0;0;0;0;0;2024120;1771655;1546965;1367909
9;1021;AUDI;S5 3.0 TFSI QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;0
9;1022;AUDI;A1 SPORTBACK 1.2 TFSI (86);0;0;0;0;0;0;0;0;0;0;0
9;1023;AUDI;A1 SPORTBACK 1.4 TFSI (122) S TRONIC;0;0;0;0;0;0;0;0;589125;530604;460206
